Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
"Canada, Government of...",CAD,2.5000%,2.50%,Aaa,11/1/2027,99.98,100.02
"Canada, Government of...",CAD,0.2500%,-,Aaa,3/1/2026,99.86,99.95
"Canada, Government of...",CAD,3.0000%,2.39%,Aaa,2/1/2027,100.56,100.74
"Canada, Government of...",CAD,3.2450%,2.36%,Aaa,8/24/2027,100.93,101.68
"Canada, Government of...",CAD,2.7500%,2.48%,Aaa,9/1/2027,100.27,100.6
"Canada, Government of...",CAD,4.0000%,2.33%,Aaa,5/1/2026,100.32,100.49
"Canada, Government of...",CAD,8.0000%,2.50%,Aaa,6/1/2027,106.61,107.53
"Canada, Government of...",CAD,3.2500%,2.31%,Aaa,11/1/2026,100.66,100.7
"Canada, Government of...",CAD,1.2500%,2.39%,Aaa,3/1/2027,98.54,99.17
"Canada, Government of...",CAD,1.0000%,2.24%,Aaa,9/1/2026,99.29,99.39
"Canada, Government of...",CAD,2.7500%,2.40%,Aaa,5/1/2027,100.42,100.45
"Canada, Government of...",CAD,1.5000%,2.23%,Aaa,6/1/2026,99.75,99.85
"Canada, Government of...",CAD,3.0000%,2.19%,Aaa,4/1/2026,99.81,100.43
"Canada, Government of...",CAD,3.2500%,2.54%,Aaa,9/1/2028,101.22,101.85
"Canada, Government of...",CAD,4.0000%,2.38%,Aaa,8/3/2026,100.73,100.91
"Canada, Government of...",CAD,2.0000%,2.59%,Aaa,6/1/2028,98.67,98.76
"Canada, Government of...",CAD,4.5000%,-,WR,2/1/2026,99.69,100.31
"Canada, Government of...",CAD,2.5000%,2.46%,Aaa,8/1/2027,100.06,100.1
"Canada, Government of...",CAD,3.5000%,2.57%,Aaa,3/1/2028,101.55,102.18
"Canada, Government of...",CAD,1.0000%,2.45%,Aaa,6/1/2027,97.86,98.52
